listing_type,id,name,project_key,project_name
map,shanghai,Shanghai,kronifer/sb-chinese-maps,sb-chinese-maps
map,shenzhen,Shenzhen,kronifer/sb-chinese-maps,sb-chinese-maps
map,dublin,Dublin,kronifer/sb-dublin-map,sb-dublin-map
map,glasgow-edinburgh,Glasgow-Edinburgh,kronifer/sb-glasgow-edinburgh-map,sb-glasgow-edinburgh-map
map,waterloo,Region of Waterloo,kronifer/sb-waterloo-map,sb-waterloo-map
map,zurich,Zurich,kronifer/sb-zurich-map,sb-zurich-map
map,greater-newyork,Greater NYC,lechicken-nyc/greater-new-york,greater-new-york
mod,improved-schematics,Improved Schematics,martig7/improved-schematics,Improved-Schematics
mod,induced-demand,Induced Demand,martig7/induced-demand,Induced-Demand
map,barcelona,Barcelona,maximilian284/subwaybuilder-es-maps,subwaybuilder-es-maps
map,bilbao,Bilbao,maximilian284/subwaybuilder-es-maps,subwaybuilder-es-maps
map,madrid,Madrid,maximilian284/subwaybuilder-es-maps,subwaybuilder-es-maps
map,valencia,Valencia,maximilian284/subwaybuilder-es-maps,subwaybuilder-es-maps
map,bari,Bari,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps
map,bologna,Bologna,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps
map,catania,Catania,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps
map,florence,Florence,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps
map,garda-lake,Garda Lake,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps
map,genoa,Genoa,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps
map,milan,Milan,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps
map,naples,Naples,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps
map,palermo,Palermo,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps
map,pianura-emiliana,Pianura Emiliana,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps
map,pianura-veneta,Pianura Veneta,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps
map,riviera-romagnola,Riviera Romagnola,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps
map,rome,Rome,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps
map,turin,Turin,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps
map,bucharest-medium,Bucharest,metatablestudios/subwaybuilder-romania,subwaybuilder-romania
mod,mode-manager,Mode Manager,mpfk/subway-builder-mode-manager,subway-builder-mode-manager
map,greater-chicagoland,Greater Chicagoland,nerdiesanders/subway-builder-gchi,subway-builder-gchi
mod,any-money,anyMoney,nzh0172/sb-anymoney,sb-anymoney
map,bangkok,Bangkok,nzh0172/sb-bangkok,sb-bangkok
map,greater-kuala-lumpur,Greater Kuala Lumpur,nzh0172/sb-malaysia-map-pack,sb-malaysia-map-pack
map,ipoh,Ipoh,nzh0172/sb-malaysia-map-pack-2,sb-malaysia-map-pack-2
map,johor-bahru,Johor Bahru,nzh0172/sb-malaysia-map-pack-2,sb-malaysia-map-pack-2
map,pulau-pinang,Pulau Pinang,nzh0172/sb-malaysia-map-pack-2,sb-malaysia-map-pack-2
mod,station-dots,Station Dots,nzh0172/sb-station-dots,sb-station-dots
map,willamette-valley,"Willamette Valley, OR",phineapoo/willamette-valley-or,Willamette-Valley-OR
map,anchorage-ak,Anchorage,pswbsf/anchorage-ak,anchorage-ak
map,buffalo-ny,Buffalo,pswbsf/buffalo-ny,buffalo-ny
map,charleston-huntington-wv,Charleston-Huntington,pswbsf/charleston-huntington-wv,charleston-huntington-wv
map,charleston-sc,"Charleston, SC",pswbsf/charleston-sc,charleston-sc
map,connecticut-usa,Connecticut,pswbsf/connecticut-usa,connecticut-usa
map,dayton-oh,Dayton,pswbsf/dayton-oh,dayton-oh
map,piedmont-triad,Piedmont Triad,pswbsf/piedmont-triad,piedmont-triad
map,pyongyang-nk,Pyongyang,pswbsf/pyongyang-nk,pyongyang-nk
map,syracuse-ny,"Syracuse, NY",pswbsf/syracuse-ny,syracuse-ny
map,wilmington-nc,"Wilmington, NC",pswbsf/wilmington-nc,wilmington-nc
map,baltimore-dc-corridor,Baltimore-DC Corridor,rslurry/subwaybuilder-maps,subwaybuilder-maps
map,bergen-stavanger-no,Bergen-Stavanger,rslurry/subwaybuilder-maps,subwaybuilder-maps
map,cdmx-core,CDMX Core,rslurry/subwaybuilder-maps,subwaybuilder-maps
map,ciudad-de-mexico,Ciudad de México,rslurry/subwaybuilder-maps,subwaybuilder-maps
map,ciudad-juarez-el-paso,Ciudad Juárez-El Paso,rslurry/subwaybuilder-maps,subwaybuilder-maps
map,greater-baltimore,Greater Baltimore,rslurry/subwaybuilder-maps,subwaybuilder-maps
map,greater-los-angeles,Greater Los Angeles,rslurry/subwaybuilder-maps,subwaybuilder-maps
map,greater-portland,Greater Portland,rslurry/subwaybuilder-maps,subwaybuilder-maps
map,guadalajara,Guadalajara,rslurry/subwaybuilder-maps,subwaybuilder-maps
map,helsinki,Helsinki,rslurry/subwaybuilder-maps,subwaybuilder-maps
map,jacksonville,Jacksonville,rslurry/subwaybuilder-maps,subwaybuilder-maps
map,knoxville,Knoxville,rslurry/subwaybuilder-maps,subwaybuilder-maps
map,kristiansand-no,Kristiansand,rslurry/subwaybuilder-maps,subwaybuilder-maps
map,los-angeles-county,Los Angeles County,rslurry/subwaybuilder-maps,subwaybuilder-maps
map,memphis,Memphis,rslurry/subwaybuilder-maps,subwaybuilder-maps
map,mexicali,Mexicali-Imperial Valley-Yuma,rslurry/subwaybuilder-maps,subwaybuilder-maps
map,monterrey,Monterrey,rslurry/subwaybuilder-maps,subwaybuilder-maps
