rank,listing_type,id,name,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,latest_snapshot
97,map,greater-chicagoland,Greater Chicagoland,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,263,263,snapshot_2026_07_06.json
98,map,south-florida,South Florida,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,262,262,snapshot_2026_07_06.json
99,map,yukina-kitakyushu-shimonoseki,北九州 (Kitakyūshū),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,261,261,snapshot_2026_07_06.json
100,map,beijing,Beijing,Kronifer,Kronifer,https://github.com/Kronifer,258,258,snapshot_2026_07_06.json
101,map,bucharest-medium,Bucharest,metatablestudios,metatablestudios,https://github.com/metatablestudios,256,256,snapshot_2026_07_06.json
102,map,opo-pt-metropolitan,"Porto, Portugal",bquelhas,bquelhas,https://github.com/bquelhas,248,248,snapshot_2026_07_06.json
103,map,greatertwincities,Greater Twin Cities,DanielD1909,DanielD1909,https://github.com/DanielD1909,244,244,snapshot_2026_07_06.json
104,map,naples,Naples,Maximilian284,max02,https://github.com/Maximilian284,243,243,snapshot_2026_07_06.json
105,map,yukina-tw-kaohsiung,高雄 (Kaohsiung),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,234,234,snapshot_2026_07_06.json
106,map,yukina-tw-taichung,臺中 (Taichung),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,230,230,snapshot_2026_07_06.json
107,map,jerusalem,Jerusalem,BarKuperman,BarKuperman,https://github.com/BarKuperman,227,227,snapshot_2026_07_06.json
108,map,yukina-pl-wroclaw,Wrocław,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,219,219,snapshot_2026_07_06.json
109,map,rhode-island,Rhode Island,rslurry,slurry,https://github.com/rslurry,213,213,snapshot_2026_07_06.json
110,map,yukina-sendai,仙台 (Sendai),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,210,210,snapshot_2026_07_06.json
111,map,yukina-northern-kyushu,福北 (Fukuoka & Kitakyūshū),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,207,207,snapshot_2026_07_06.json
112,map,sejong-4,Sejong (40km×40km),kimth9,kimth9,https://github.com/kimth9,203,203,snapshot_2026_07_06.json
113,map,trondheim-val,Trondheim,Valdotorium,Valdotorium,https://github.com/Valdotorium,199,199,snapshot_2026_07_06.json
114,map,providence,Providence,soccerjonj,soccerjonj,https://github.com/soccerjonj,193,193,snapshot_2026_07_06.json
115,map,yukina-pl-katowice-gzm,Katowice - GZM,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,192,192,snapshot_2026_07_06.json
116,map,yukina-cz-ostrava,Ostrava,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,191,191,snapshot_2026_07_06.json
117,map,sacramento,Sacramento,soccerjonj,soccerjonj,https://github.com/soccerjonj,187,187,snapshot_2026_07_06.json
118,map,ulsan-4,Ulsan (40km×40km),kimth9,kimth9,https://github.com/kimth9,184,184,snapshot_2026_07_06.json
119,map,albany,Albany,soccerjonj,soccerjonj,https://github.com/soccerjonj,183,183,snapshot_2026_07_06.json
120,map,daegu-3,Daegu (30km×30km),kimth9,kimth9,https://github.com/kimth9,183,183,snapshot_2026_07_06.json
121,map,chongqing,Chongqing,Kronifer,Kronifer,https://github.com/Kronifer,182,182,snapshot_2026_07_06.json
122,map,spokane,Spokane,ryandicicco,ryandicicco,https://github.com/ryandicicco,181,181,snapshot_2026_07_06.json
123,map,jeju-3,Jeju (30km×30km),kimth9,kimth9,https://github.com/kimth9,180,180,snapshot_2026_07_06.json
124,map,anchorage-ak,Anchorage,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,179,179,snapshot_2026_07_06.json
125,map,incheon-3,Incheon (30km×30km),kimth9,kimth9,https://github.com/kimth9,179,179,snapshot_2026_07_06.json
126,map,san-juan,San Juan,rslurry,slurry,https://github.com/rslurry,178,178,snapshot_2026_07_06.json
127,map,yukina-hakodate,函館 (Hakodate),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,173,173,snapshot_2026_07_06.json
128,map,nashville,Nashville,soccerjonj,soccerjonj,https://github.com/soccerjonj,172,172,snapshot_2026_07_06.json
129,map,turin,Turin,Maximilian284,max02,https://github.com/Maximilian284,170,170,snapshot_2026_07_06.json
130,map,yukina-matsuyama,松山 (Matsuyama),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,170,170,snapshot_2026_07_06.json
131,map,florence,Florence,Maximilian284,max02,https://github.com/Maximilian284,169,169,snapshot_2026_07_06.json
132,map,genoa,Genoa,Maximilian284,max02,https://github.com/Maximilian284,163,163,snapshot_2026_07_06.json
133,map,oklahoma-city,Oklahoma City,ryandicicco,ryandicicco,https://github.com/ryandicicco,162,162,snapshot_2026_07_06.json
134,map,yukina-kochi,高知 (Kōchi),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,161,161,snapshot_2026_07_06.json
135,map,waterloo,Region of Waterloo,Kronifer,Kronifer,https://github.com/Kronifer,160,160,snapshot_2026_07_06.json
136,map,yukina-pl-lodz,Łódź,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,159,159,snapshot_2026_07_06.json
137,map,jeju-f,Jeju (Full Island),kimth9,kimth9,https://github.com/kimth9,158,158,snapshot_2026_07_06.json
138,map,richmond,Richmond,rslurry,slurry,https://github.com/rslurry,157,157,snapshot_2026_07_06.json
139,mod,tathan-casino,TATHAN Casino,TathanDev,TathanDev,https://github.com/TathanDev,156,156,snapshot_2026_07_06.json
140,map,orange-county,Orange County,rslurry,slurry,https://github.com/rslurry,154,154,snapshot_2026_07_06.json
141,map,puebla,Puebla,rslurry,slurry,https://github.com/rslurry,153,128,snapshot_2026_07_06.json
142,map,jacksonville,Jacksonville,rslurry,slurry,https://github.com/rslurry,152,152,snapshot_2026_07_06.json
143,map,cdmx-core,CDMX Core,rslurry,slurry,https://github.com/rslurry,145,145,snapshot_2026_07_06.json
144,map,sejong-3,Sejong (30km×30km),kimth9,kimth9,https://github.com/kimth9,144,144,snapshot_2026_07_06.json
145,map,pyongyang-nk,Pyongyang,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,143,143,snapshot_2026_07_06.json
