rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
99,map,yukina-nagoya,名古屋 (Nagoya),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,1,495,495,494,494,snapshot_2026_07_06.json,snapshot_2026_07_05.json
100,map,rotterdam-the-hague,Rotterdam-The Hague,ryandicicco,ryandicicco,https://github.com/ryandicicco,1,1,485,485,484,484,snapshot_2026_07_06.json,snapshot_2026_07_05.json
101,map,yukina-okinawa,沖縄 (Okinawa),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,1,421,421,420,420,snapshot_2026_07_06.json,snapshot_2026_07_05.json
102,map,yukina-hiroshima-kure,広島 (Hiroshima),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,1,382,382,381,381,snapshot_2026_07_06.json,snapshot_2026_07_05.json
103,map,bilbao,Bilbao,Maximilian284,max02,https://github.com/Maximilian284,1,1,325,325,324,324,snapshot_2026_07_06.json,snapshot_2026_07_05.json
104,map,valencia,Valencia,Maximilian284,max02,https://github.com/Maximilian284,1,1,317,317,316,316,snapshot_2026_07_06.json,snapshot_2026_07_05.json
105,map,lima,Lima,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,1,285,285,284,284,snapshot_2026_07_06.json,snapshot_2026_07_05.json
106,map,tijuana-san-diego,Tijuana-San Diego,rslurry,slurry,https://github.com/rslurry,1,1,269,269,268,268,snapshot_2026_07_06.json,snapshot_2026_07_05.json
107,map,yukina-kitakyushu-shimonoseki,北九州 (Kitakyūshū),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,1,261,261,260,260,snapshot_2026_07_06.json,snapshot_2026_07_05.json
108,map,yukina-tw-taichung,臺中 (Taichung),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,1,230,230,229,229,snapshot_2026_07_06.json,snapshot_2026_07_05.json
109,map,yukina-pl-wroclaw,Wrocław,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,1,219,219,218,218,snapshot_2026_07_06.json,snapshot_2026_07_05.json
110,map,providence,Providence,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,1,193,193,192,192,snapshot_2026_07_06.json,snapshot_2026_07_05.json
111,map,yukina-pl-katowice-gzm,Katowice - GZM,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,1,192,192,191,191,snapshot_2026_07_06.json,snapshot_2026_07_05.json
112,map,ulsan-4,Ulsan (40km×40km),kimth9,kimth9,https://github.com/kimth9,1,1,184,184,183,183,snapshot_2026_07_06.json,snapshot_2026_07_05.json
113,map,albany,Albany,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,1,183,183,182,182,snapshot_2026_07_06.json,snapshot_2026_07_05.json
114,map,daegu-3,Daegu (30km×30km),kimth9,kimth9,https://github.com/kimth9,1,1,183,183,182,182,snapshot_2026_07_06.json,snapshot_2026_07_05.json
115,map,jeju-3,Jeju (30km×30km),kimth9,kimth9,https://github.com/kimth9,1,1,180,180,179,179,snapshot_2026_07_06.json,snapshot_2026_07_05.json
116,map,incheon-3,Incheon (30km×30km),kimth9,kimth9,https://github.com/kimth9,1,1,179,179,178,178,snapshot_2026_07_06.json,snapshot_2026_07_05.json
117,map,san-juan,San Juan,rslurry,slurry,https://github.com/rslurry,1,1,178,178,177,177,snapshot_2026_07_06.json,snapshot_2026_07_05.json
