rank,id,name,author,author_alias,attribution_link,city_code,country,population,population_count,points_count,n_cells,mean_point_density,median_resident_weighted_nn_km,mean_resident_weighted_nn_km,median_worker_weighted_nn_km,mean_worker_weighted_nn_km,detail_radius_km,detail_score,playable_area_cells,median_cell_resident_density,mean_cell_resident_density,pct_cells_with_residents,median_cell_worker_density,mean_cell_worker_density,pct_cells_with_workers,median_commute_distance,mean_commute_distance,detected_center_count,polycentrism_score
147,yukina-takamatsu,高松 (Takamatsu),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,TAK,JP,564954,13135,5224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,yukina-kagoshima-kirishima,鹿児島 (Kagoshima),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,KOJ,JP,542021,10719,3562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,iquitos,Iquitos,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,IQT,PE,540098,4622,10769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,chimbote,Chimbote,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,CHM,PE,532539,5297,4674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,louisville,Louisville,soccerjonj,soccerjonj,https://github.com/soccerjonj,SDF,US,530833,48045,3488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,catania,Catania,Maximilian284,max02,https://github.com/Maximilian284,CAT,IT,530181,7992,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,yukina-tw-chiayi,嘉義 (Chiayi),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,CYI,TW,524443,10459,5537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,winnipeg,Winnipeg,devenperez,devenperez,https://github.com/devenperez,YWG,CA,502477,4154,2137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,quebec-city,Quebec City,devenperez,devenperez,https://github.com/devenperez,YQB,CA,497019,4131,2176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,santa-barbara,Santa Barbara,rslurry,slurry,https://github.com/rslurry,SBA,US,475304,30058,1431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,jerusalem,Jerusalem,BarKuperman,BarKuperman,https://github.com/BarKuperman,JER,IL,473200,2366,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,yukina-nakaumi,中海 (Nakaumi),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,IZO,JP,472700,15820,6448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,yukina-nagasaki,長崎 (Nagasaki),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,NGS,JP,467566,14369,5003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,yukina-pl-lublin,Lublin,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,LUZ,PL,461019,21807,15066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,genoa,Genoa,Maximilian284,max02,https://github.com/Maximilian284,GEN,IT,456057,6547,1881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,yukina-pl-kielce,Kielce,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,KIE,PL,454991,24015,18166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,bologna,Bologna,Maximilian284,max02,https://github.com/Maximilian284,BOL,IT,454179,5584,2714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,richmond,Richmond,rslurry,slurry,https://github.com/rslurry,RIC,US,452742,63651,1780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,piedmont-triad,Piedmont Triad,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,WGH,US,452333,49019,2580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,yukina-pl-szczecin,Szczecin,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,SZZ,PL,449582,16154,10111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
